,Unnamed: 0,Age,Gender,Education Level,Job Title,Years of Experience,Country,Race,height,weight,id,professionalism
3478,3478,44.0,F,p,senior|human|resources|manage,16.0,u,White,2.2497702315686796,93.3404402126004,3478,645.0
894,894,32.0,M,bachelor,data|analys,10.0,us,White,1.868283384017538,45.172025399541596,894,279.0
4240,4240,38.0,F,master's|degr,marketing|manage,12.0,us,African American,2.192340228556982,71.35980346041599,4240,396.0
3597,3597,44.0,F,p,senior|human|resources|manage,16.0,australi,Asian,2.418708875708263,70.92693311036531,3597,645.0
1952,1952,35.0,F,bachelor's|degr,full|stack|enginee,9.0,canad,Asian,1.7726191624414107,78.98409591860053,1952,231.0
4159,4159,41.0,F,master's|degr,marketing|coordinato,14.0,australi,Australian,2.416807730625597,94.97718961655843,4159,480.0
2409,2409,36.0,F,bachelor's|degr,back|end|develope,12.0,australi,Asian,2.3196745949284097,69.63753681929572,2409,350.0
2205,2205,50.0,F,p,senior|project|enginee,20.0,us,Hispanic,2.3596238964327605,90.6192066928603,2205,931.0
3525,3525,29.0,F,master's|degr,director|of|h,6.0,u,White,2.0134227944217953,36.052284001202246,3525,135.0
1355,1355,26.0,M,bachelor's|degr,front|end|develope,2.0,canad,Asian,2.0689004741845234,34.82411106907287,1355,25.0
3516,3516,45.0,F,p,senior|human|resources|manage,17.0,u,Mixed,1.9215036934421073,77.83678739521969,3516,645.0
3049,3049,40.0,M,master's|degr,full|stack|enginee,16.0,u,Welsh,2.1513264214793084,60.25968736955278,3049,570.0
6349,6349,39.0,M,master's|degr,director|of|marketin,11.0,canad,Asian,2.363428696829918,67.40121208271536,6349,342.0
6551,6551,26.0,F,high|scho,sales|executiv,3.0,canad,Black,2.0502848819006783,74.11331715385003,6551,25.0
4461,4461,31.0,F,high|scho,junior|sales|associat,3.0,u,Mixed,2.39358697363552,53.503793797940844,4461,30.0
25,25,29.0,F,bachelor,social|media|specialis,5.0,canad,White,1.5407416172672286,55.794196899959694,25,84.0
1483,1483,30.0,M,bachelor's|degr,front|end|develope,4.0,u,White,1.7874682938265458,47.2972211391548,1483,56.0
1785,1785,34.0,F,bachelor's|degr,full|stack|enginee,8.0,u,Welsh,2.1523448399747087,48.63026453274894,1785,198.0
2140,2140,50.0,M,p,software|engineer|manage,20.0,u,White,2.475842415095458,106.28439571258025,2140,864.0
2818,2818,48.0,M,bachelor's|degr,senior|project|enginee,27.0,u,Welsh,1.90781994359858,101.52021666097335,2818,1150.0
4326,4326,46.0,M,p,data|scientis,21.0,u,Mixed,2.2540917932055393,84.13708333588107,4326,855.0
6039,6039,28.0,M,bachelor's|degr,software|enginee,4.0,canad,Black,1.7503865456692236,60.144717142102714,6039,81.0
2846,2846,55.0,F,p,software|engineer|manage,34.0,us,White,1.7977005637465502,97.32206503729758,2846,1728.0
5480,5480,33.0,F,bachelor's|degr,marketing|coordinato,5.0,us,Hispanic,1.9043974566841952,69.77326268505577,5480,124.0
6682,6682,30.0,M,p,marketing|manage,6.0,canad,Asian,2.4362290826458644,81.83007028327944,6682,112.0
4810,4810,27.0,M,high|scho,junior|sales|associat,4.0,canad,White,2.333914794967769,43.11602066342413,4810,52.0
4171,4171,31.0,F,high|scho,junior|sales|associat,2.0,australi,White,1.6440463789834991,72.638298106512,4171,29.0
6385,6385,38.0,M,bachelor's|degr,sales|directo,8.0,canad,White,1.9295653185442183,75.4045492009894,6385,216.0
4561,4561,30.0,F,bachelor's|degr,junior|hr|coordinato,4.0,australi,White,1.9648334771037974,45.52099910230086,4561,84.0
3166,3166,26.0,F,bachelor's|degr,software|develope,3.0,u,Mixed,1.5157836780351852,56.31708050459129,3166,48.0
5424,5424,32.0,F,bachelor's|degr,marketing|coordinato,5.0,chin,Korean,2.398682577206673,77.45017353511605,5424,124.0
5164,5164,33.0,M,p,data|scientis,10.0,us,Asian,1.7919867319930263,69.68174171280644,5164,288.0
3103,3103,37.0,F,master's|degr,senior|project|enginee,12.0,chin,Korean,1.5611505076510905,79.10636833968144,3103,396.0
5075,5075,27.0,M,bachelor's|degr,senior|product|marketing|manage,7.0,us,Hispanic,2.172083522245292,40.659085300664486,5075,130.0
5009,5009,27.0,F,bachelor's|degr,marketing|manage,3.0,canad,Asian,2.218501338651711,53.56955935042193,5009,50.0
3550,3550,46.0,M,master's|degr,director|of|h,16.0,u,Asian,2.4870959014112213,93.3542300956602,3550,630.0
2577,2577,52.0,F,bachelor's|degr,senior|project|enginee,26.0,australi,White,1.9893322112320928,92.15705930512472,2577,1250.0
1460,1460,55.0,M,p,software|engineer|manage,19.0,chin,Chinese,1.7140522243298482,104.75769187670285,1460,972.0
4684,4684,27.0,F,bachelor's|degr,junior|software|enginee,2.0,us,Asian,2.2080667514459815,56.80000625375068,4684,26.0
2766,2766,39.0,M,bachelor's|degr,data|analys,12.0,us,Asian,2.334201037485645,51.23678562763545,2766,407.0
1816,1816,50.0,F,p,senior|project|enginee,18.0,canad,Black,1.9330824073353106,103.34274897270582,1816,833.0
4344,4344,35.0,M,bachelor's|degr,operations|manage,10.0,australi,White,1.7568849595806992,59.8935906026998,4344,272.0
6183,6183,34.0,M,bachelor's|degr,product|manage,9.0,us,Hispanic,2.2038638720490646,76.71235882615932,6183,224.0
119,119,36.0,M,master,senior|product|manage,11.0,canad,White,2.487337003559287,57.559514328233455,119,350.0
793,793,34.0,F,master,product|manage,12.0,canad,Black,1.7219191584664597,60.42463856755062,793,363.0
3908,3908,30.0,M,bachelor's|degr,software|develope,5.0,australi,Australian,1.995730443877065,56.40573864521705,3908,84.0
5865,5865,33.0,F,p,data|scientis,9.0,australi,Australian,2.493526580628303,72.92583989247818,5865,248.0
2252,2252,35.0,F,master's|degr,data|analys,9.0,australi,Australian,1.5394212791412487,80.44365314535584,2252,231.0
1608,1608,28.0,F,master's|degr,back|end|develope,3.0,us,African American,1.7418007193685248,69.04076490155956,1608,54.0
4139,4139,35.0,M,bachelor's|degr,software|enginee,7.0,canad,White,2.4976696432085257,77.57380199736195,4139,204.0
5899,5899,37.0,M,p,research|scientis,15.0,canad,Asian,2.17927483380488,80.12228327973659,5899,468.0
5010,5010,27.0,M,bachelor's|degr,senior|product|marketing|manage,6.0,chin,Korean,2.1970867033072587,53.89183713961482,5010,130.0
5102,5102,29.0,F,master's|degr,marketing|manage,8.0,chin,Korean,1.905926143575563,62.66969705391238,5102,196.0
2371,2371,29.0,F,bachelor's|degr,software|enginee,4.0,us,White,1.8585851541144525,52.02331677349708,2371,81.0
4838,4838,34.0,M,bachelor's|degr,junior|marketing|manage,7.0,canad,White,1.557721998994874,54.38289580001657,4838,192.0
6685,6685,50.0,F,p,senior|product|marketing|manage,21.0,chin,White,1.7775387965189284,110.1223655912317,6685,980.0
952,952,43.0,F,bachelor's|degr,software|enginee,14.0,us,White,1.6317271780669038,88.18592988714556,952,546.0
4231,4231,31.0,F,high|scho,junior|sales|associat,3.0,u,Welsh,2.464877614070979,52.990509775017514,4231,29.0
4204,4204,42.0,F,master's|degr,marketing|coordinato,14.0,u,Asian,1.6140234649180507,61.34758179035307,4204,480.0
2487,2487,35.0,M,master's|degr,senior|software|enginee,10.0,australi,White,1.8971338087044902,66.89376672983421,2487,264.0
3319,3319,35.0,M,master's|degr,data|scientis,11.0,us,Hispanic,2.200120507291167,89.17147520591675,3319,306.0
4898,4898,37.0,M,bachelor's|degr,sales|manage,12.0,canad,White,2.2982537879985228,79.34924139845677,4898,396.0
3870,3870,33.0,M,bachelor's|degr,operations|manage,8.0,us,Asian,2.152988731114533,60.54852398432916,3870,192.0
6546,6546,38.0,M,bachelor's|degr,sales|directo,7.0,australi,White,1.7571340179396815,69.10351860234705,6546,216.0
5410,5410,25.0,F,high|scho,sales|associat,1.0,u,Asian,1.8923950286000066,43.15702448926756,5410,0.0
6009,6009,32.0,M,p,data|scientis,8.0,canad,White,1.736289367125162,56.44663732602244,6009,217.0
1848,1848,32.0,M,bachelor's|degr,full|stack|enginee,8.0,canad,Asian,2.447898245168766,63.732460116672236,1848,186.0
6048,6048,41.0,F,bachelor's|degr,financial|manage,17.0,chin,Korean,2.0934460187333737,83.49357629157723,6048,640.0
5821,5821,41.0,F,bachelor's|degr,financial|manage,17.0,australi,Australian,2.253814989892618,64.61542847704993,5821,624.0
983,983,29.0,F,bachelor,software|enginee,6.0,canad,Asian,1.8365926127640984,64.10507203490141,983,140.0
4650,4650,33.0,F,master's|degr,senior|software|enginee,9.0,australi,White,2.2720429441119876,83.28228722970599,4650,224.0
6209,6209,35.0,M,p,research|directo,14.0,u,Mixed,2.390422456355537,70.7589661205893,6209,408.0
2113,2113,46.0,M,p,senior|project|enginee,18.0,u,Asian,1.5037874820086246,85.79212063323212,2113,720.0
1852,1852,46.0,M,p,software|engineer|manage,17.0,u,White,1.8239833683148572,82.93127933683556,1852,720.0
1950,1950,36.0,M,master's|degr,back|end|develope,10.0,us,Hispanic,1.6865810246787656,85.1133259961616,1950,272.0
1336,1336,30.0,F,bachelor's|degr,front|end|develope,4.0,australi,Asian,2.3861886509231525,51.64015113031717,1336,84.0
6035,6035,28.0,M,bachelor's|degr,product|designe,4.0,australi,Asian,1.8010736487612973,30.5609274895812,6035,54.0
3068,3068,27.0,F,master's|degr,front|end|develope,5.0,canad,White,2.3795607067070157,43.50903077100148,3068,78.0
551,551,30.0,F,master,data|scientis,7.0,canad,White,2.4797033001387563,77.6635133934327,551,174.0
3970,3970,33.0,M,bachelor's|degr,operations|manage,8.0,australi,Australian,1.8733387198299019,57.47790025829481,3970,186.0
5098,5098,27.0,F,bachelor's|degr,marketing|manage,5.0,australi,Asian,1.5428303352910486,59.85958089740356,5098,75.0
6145,6145,28.0,M,bachelor's|degr,product|designe,4.0,chin,Korean,2.211050726073725,54.35107578889531,6145,54.0
2104,2104,45.0,F,p,senior|project|enginee,16.0,chin,Chinese,1.8112817528741256,101.44822571099762,2104,602.0
995,995,34.0,M,bachelor,software|enginee,9.0,chin,White,2.2914568752685924,50.59726774870528,995,256.0
136,136,47.0,M,master,senior|project|manage,21.0,canad,Black,2.0040518327897283,100.70329595003328,136,874.0
4574,4574,41.0,M,master's|degr,senior|hr|generalis,13.0,australi,White,2.3443001978047913,86.57785289577869,4574,429.0
3839,3839,40.0,F,master's|degr,human|resources|manage,13.0,canad,Black,1.771363630720041,76.79892783731987,3839,429.0
5120,5120,28.0,F,master's|degr,content|marketing|manage,6.0,australi,White,2.0855186373236516,73.95847910585084,5120,108.0
1009,1009,26.0,F,bachelor,data|analys,3.0,us,African American,1.5506031212305291,58.56536106777537,1009,50.0
4579,4579,35.0,F,master's|degr,director|of|h,11.0,chin,Korean,2.069268585534904,90.58719336820023,4579,306.0
6625,6625,34.0,F,bachelor's|degr,director|of|marketin,9.0,australi,Australian,1.5819403207412406,67.06181493603518,6625,264.0
18,18,26.0,F,bachelor,data|entry|cler,1.0,u,Asian,2.1045713125547145,41.205039714200794,18,0.0
3455,3455,44.0,F,master's|degr,director|of|h,14.0,canad,Asian,1.8129604146520006,73.539767784028,3455,504.0
5138,5138,38.0,M,bachelor's|degr,product|manage,14.0,u,Welsh,1.6060873193640655,77.30873502616029,5138,444.0
1846,1846,26.0,F,bachelor's|degr,front|end|develope,3.0,australi,White,1.529615935666346,43.22754584123598,1846,25.0
2000,2000,45.0,F,p,senior|project|enginee,16.0,u,White,1.874853409613658,77.75454086470575,2000,602.0
3354,3354,25.0,F,bachelor's|degr,software|enginee,3.0,australi,White,2.3252373508694273,40.218153609438076,3354,23.0
5961,5961,25.0,F,high|scho,receptionis,1.0,us,White,1.6694639659811257,36.590505373997765,5961,0.0
2755,2755,31.0,F,bachelor's|degr,software|enginee,6.0,us,African American,2.302699147725364,62.514257350031066,2755,150.0
5813,5813,37.0,F,p,research|scientis,13.0,chin,Korean,1.7527041480227672,93.40068951538899,5813,432.0
2132,2132,33.0,M,master's|degr,software|engineer|manage,10.0,canad,Black,2.2642987721886367,48.41851111821454,2132,248.0
225,225,41.0,F,bachelor,senior|marketing|manage,12.0,u,White,1.6023712628624653,88.51808781037305,225,440.0
6463,6463,41.0,F,bachelor's|degr,financial|manage,11.0,australi,Australian,1.6395980035731368,73.33549307501609,6463,390.0
1075,1075,34.0,M,bachelor,software|enginee,9.0,us,Hispanic,2.375191668600218,56.537689004094126,1075,256.0
2819,2819,39.0,F,p,software|engineer|manage,17.0,us,Asian,1.577964101592126,60.95694121351495,2819,570.0
4306,4306,52.0,M,p,data|scientis,25.0,chin,Korean,2.488733208286475,98.96581819882564,4306,1224.0
853,853,32.0,F,p,data|scientis,8.0,u,Mixed,2.236011577247124,60.33178722278757,853,210.0
4895,4895,29.0,F,master's|degr,content|marketing|manage,6.0,australi,Asian,2.2335757268723944,38.52149223677245,4895,108.0
1622,1622,55.0,M,p,software|engineer|manage,18.0,u,Asian,1.7584514995247988,131.28617298305844,1622,918.0
2820,2820,56.0,M,master's|degr,senior|software|enginee,34.0,chin,White,2.3729876060803257,112.59537480775451,2820,1728.0
5315,5315,29.0,F,bachelor's|degr,social|media|manage,5.0,chin,Chinese,1.9259069118169072,61.82742660360103,5315,81.0
4695,4695,35.0,M,master's|degr,senior|data|scientis,10.0,us,Hispanic,1.832217756818885,65.0900130497138,4695,264.0
2909,2909,24.0,F,high|scho,back|end|develope,3.0,u,White,2.0488894261372943,66.61803037649727,2909,23.0
3329,3329,32.0,F,bachelor's|degr,software|enginee,6.0,australi,White,1.8029000404529896,52.2174998995484,3329,150.0
979,979,29.0,M,bachelor,software|enginee,6.0,u,Mixed,2.3924896755308684,70.08963919638411,979,108.0
98,98,40.0,F,master,public|relations|manage,12.0,u,Asian,2.392476778050036,86.44394374251372,98,380.0
3139,3139,28.0,M,bachelor's|degr,software|enginee,4.0,canad,White,1.6797463178005736,48.65631146418545,3139,52.0
6086,6086,29.0,F,bachelor's|degr,marketing|analys,4.0,u,White,2.384561672933959,46.83610083465284,6086,84.0
4026,4026,30.0,M,bachelor's|degr,software|enginee,6.0,australi,Australian,2.335412116858483,56.714614882416264,4026,116.0
1012,1012,30.0,F,bachelor,software|enginee,7.0,canad,White,2.2740092983027087,57.06590634360472,1012,140.0
2507,2507,29.0,M,bachelor's|degr,back|end|develope,5.0,chin,Chinese,2.142374267832782,49.652114806031136,2507,108.0
2369,2369,28.0,M,bachelor's|degr,software|develope,4.0,canad,Black,2.1497771560938306,42.64903803446268,2369,52.0
3483,3483,40.0,M,master's|degr,senior|hr|generalis,12.0,australi,White,2.0041055488809008,86.57460808280402,3483,390.0
5698,5698,35.0,M,p,research|directo,13.0,canad,Black,2.043494665589332,63.862827535137974,5698,374.0
63,63,48.0,M,p,senior|data|scientis,22.0,chin,White,1.8736124497531508,88.73656947510584,63,987.0
1574,1574,42.0,M,p,senior|software|enginee,13.0,chin,Chinese,2.166739066701947,77.6794682459308,1574,480.0
3706,3706,29.0,F,master's|degr,human|resources|coordinato,5.0,u,Asian,1.6200681648786284,41.88929167070424,3706,81.0
1799,1799,41.0,F,master's|degr,software|engineer|manage,13.0,u,Mixed,2.142916054025245,60.82664608063363,1799,468.0
5886,5886,27.0,M,bachelor's|degr,graphic|designe,3.0,canad,White,2.250787789449049,43.24725184525059,5886,26.0
5309,5309,28.0,F,bachelor's|degr,graphic|designe,3.0,canad,Asian,2.09349273160749,67.39886623510067,5309,54.0
2416,2416,53.0,M,bachelor's|degr,back|end|develope,27.0,us,White,2.188291197874173,85.08365081793147,2416,1300.0
258,258,51.0,F,p,director|of|operation,24.0,australi,White,1.6473950014260015,88.39058889317249,258,1100.0
3556,3556,31.0,M,bachelor's|degr,junior|web|develope,3.0,canad,White,1.5030031910897677,71.32806995961815,3556,58.0
1091,1091,30.0,M,bachelor,software|enginee,9.0,canad,Black,2.4543122640512958,67.47770154898635,1091,203.0
5099,5099,31.0,M,master's|degr,financial|manage,9.0,us,White,1.7969338613750556,49.40463199123094,5099,210.0
3446,3446,32.0,M,high|scho,junior|hr|generalis,4.0,us,African American,2.300488688541399,51.92922407127713,3446,62.0
6174,6174,34.0,F,p,data|scientis,10.0,us,White,2.294138517032029,66.66852103985809,6174,288.0
4529,4529,33.0,F,bachelor's|degr,junior|hr|coordinato,6.0,chin,Korean,1.9793470382344052,66.50955052964379,4529,124.0
3781,3781,30.0,F,high|scho,junior|sales|associat,3.0,us,Hispanic,1.7079727708037604,65.59114983433342,3781,28.0
4004,4004,28.0,M,high|scho,junior|sales|associat,3.0,canad,White,2.0219161552970646,54.65710809651738,4004,52.0
6155,6155,33.0,M,bachelor's|degr,product|manage,8.0,australi,Asian,2.0248487310985785,58.396547508148345,6155,224.0
6175,6175,30.0,M,bachelor's|degr,marketing|analys,6.0,chin,White,2.481903842829438,81.13115778459937,6175,116.0
413,413,32.0,F,bachelor,data|analys,7.0,canad,White,1.5050872182094013,57.301117149964135,413,150.0
3436,3436,43.0,F,master's|degr,director|of|h,14.0,chin,Chinese,1.7576991939150295,85.28152257090483,3436,546.0
5504,5504,29.0,F,master's|degr,financial|analys,5.0,u,Welsh,1.6977143073455594,36.67057169559405,5504,112.0
2006,2006,32.0,M,bachelor's|degr,back|end|develope,7.0,canad,White,2.3591659247780075,56.247652935366744,2006,150.0
5513,5513,27.0,M,bachelor's|degr,product|designe,4.0,australi,Australian,2.044961682048152,53.80858616292238,5513,52.0
4534,4534,35.0,M,bachelor's|degr,web|develope,8.0,us,Asian,2.1977559214900078,63.61216719676623,4534,238.0
5598,5598,32.0,F,p,data|scientis,9.0,chin,Korean,1.5832182675421549,55.17907502695614,5598,248.0
1227,1227,43.0,F,master's|degr,senior|project|enginee,13.0,canad,Asian,1.6904154137224778,61.064949493128665,1227,462.0
1246,1246,57.0,M,p,software|engineer|manage,18.0,chin,White,1.9088978537988552,98.0485285148307,1246,952.0
4340,4340,31.0,F,high|scho,junior|sales|associat,2.0,chin,Chinese,2.0382902352611203,69.00015709104427,4340,30.0
2404,2404,36.0,M,master's|degr,full|stack|enginee,14.0,us,African American,2.358754983833306,71.33684410091551,2404,408.0
549,549,29.0,F,bachelor,product|manage,5.0,u,White,2.4311904913713196,51.400106778898774,549,108.0
41,41,50.0,M,master,operations|directo,20.0,canad,Black,1.9713545094146667,115.3853034400505,41,864.0
1887,1887,41.0,F,master's|degr,software|engineer|manage,13.0,u,Welsh,1.8416679653723405,83.34970823882493,1887,468.0
